time_s,x_m,y_m,yaw_rad,speed_mps,steer_rad,accel_mps2,progress_m,lateral_error_m,heading_error_rad,compute_ms,reward
0.0,32.01082150391946,0.006977474463766401,0.9158803347392528,0.15000000000000002,0.5235987755982988,3.0,0.0,0.0020801257358439565,0.0016037507477486557,0.7133139988582116,-0.15065315184409928
0.05,32.01629997111329,0.020941227440888905,0.919087836234751,0.30000000000000004,0.5235987755982988,3.0,0.0,0.006263484355685638,0.004811252243246855,0.21832899801665917,-0.15101573557984752
0.1,32.024450446609315,0.041913107404037434,0.9238990884779978,0.45000000000000007,0.5235987755982988,3.0,0.0,0.012607795222305053,0.00962250448649371,0.14265700156101957,-0.0715603039128384
0.15000000000000002,32.035183087338325,0.06992757550503742,0.9303140914689934,0.6000000000000001,0.5235987755982988,3.0,0.0,0.021205258778226144,0.01603750747748922,0.13405000208877027,-0.07228777884749715
0.2,32.04837397262517,0.10503100190972386,0.9383328452077384,0.7500000000000001,0.5235987755982988,3.0,0.0,0.03218233789236596,0.024056261216234276,0.14901800022926182,-0.07319942501251306
0.25,32.06386474680635,0.1472806872963358,0.9479553496942321,0.9000000000000001,0.5235987755982988,3.0,0.2356322742179599,0.047300218834457244,0.014729213338402047,0.1442499997210689,1.8126402947095284
0.30000000000000004,32.081462181565584,0.19674360562809798,0.9591816049284745,1.0500000000000003,0.5235987755982988,3.0,0.2356322742179599,0.06260243960879813,0.025955468572644413,0.13052400026936084,-0.0736935467653184
0.35000000000000003,32.10093767207615,0.253494863494094,0.9720116109104664,1.2000000000000002,0.5235987755982988,3.0,0.2356322742179599,0.08073390486301402,0.03878547455463632,0.12550499741337262,-0.07515786201605976
0.4,32.12202668426159,0.31761587069955,0.986445367640207,1.35,0.5235987755982988,3.0,0.2356322742179599,0.10195563824707013,0.05321923128437689,0.12643700029002503,-0.07681345502287436
0.45,32.14442817378108,0.3891922164242961,1.0024828751176962,1.5,0.5235987755982988,3.0,0.4699589584330298,0.12799059831114704,0.05013843367290427,0.1481969993619714,1.7978477488581914
0.5,32.16780400071495,0.4683112452047213,1.020124133342935,1.65,0.5235987755982988,3.0,0.4699589584330298,0.15481570677311507,0.06777969189814304,0.17511799887870438,-0.07879810176951142
0.55,32.19177836736687,0.5550593272794238,1.0393691423159224,1.7999999999999998,0.5235987755982988,3.0,0.4699589584330298,0.18557626930980212,0.08702470087113046,0.17426599879399873,-0.08103020829217704
0.6000000000000001,32.21593731010245,0.6495188185224908,1.0602179020366584,1.9499999999999997,0.5235987755982988,3.0,0.7030067372177065,0.22163894751339627,0.08860140871244537,0.13120500079821795,1.7828337244190686
0.65,32.23982827969434,0.7517647063222401,1.082670412505144,2.0999999999999996,0.5235987755982988,3.0,0.7030067372177065,0.2595729621765576,0.111053919180931,0.13479199697030708,-0.08417309705182466
0.7000000000000001,32.26295984821649,0.8618609393990598,1.1067266737213783,2.2499999999999996,0.5235987755982988,3.0,0.9348058896097848,0.30403248817814027,0.11570018720218744,0.12753900227835402,1.7693109000226608
0.75,32.28480158409205,0.9798564417453028,1.1323866856853613,2.3999999999999995,0.5235987755982988,3.0,0.9348058896097848,0.3504015789396892,0.14136019916617037,0.12874099775217474,-0.08811201121797992
