time_s,x_m,y_m,yaw_rad,speed_mps,steer_rad,accel_mps2,progress_m,lateral_error_m,heading_error_rad,compute_ms
0.0,32.01197178382031,0.006405816392346765,0.9148876887805386,0.15000000000000002,0.2165481340979361,19.200000000000003,0.0,0.0008200452114404805,0.0006111047890344778,0.022521999198943377
0.05,32.01976657431902,0.019221480287797788,0.9161088393762213,0.30000000000000004,0.21636630976141363,18.96,0.0,0.0024678429477393055,0.0018322553847172074,0.007193000783445314
0.1,32.0314389110825,0.03845703472430553,0.9179373783552309,0.45000000000000007,0.21600147635453013,18.72,0.0,0.004962622483083161,0.0036607943637267937,0.0063110019254963845
0.15000000000000002,32.04696242222127,0.06412843129567523,0.9203690194291347,0.6000000000000001,0.2154509329972153,18.48,0.0,0.008335009826366995,0.006092435437630606,0.006050999218132347
0.2,32.06630104266252,0.09625735532728907,0.9233977948536607,0.7500000000000001,0.21471040824055568,18.240000000000002,0.0,0.012626808824955246,0.009121210862156559,0.0059010017139371485
0.25,32.089409223986344,0.1348709792948158,0.9270159793311326,0.9000000000000001,0.213773978546181,18.0,0.2356322742179599,0.019387282297956856,-0.006210157024697516,0.006030997610650957
0.30000000000000004,32.11620442419452,0.18001815247103742,0.9312382161207182,1.0500000000000003,0.2138241510888427,17.76,0.2356322742179599,0.024729764997717937,-0.001987920235111851,0.00585100133321248
0.35000000000000003,32.14664235038037,0.23172436727646295,0.936034966484776,1.2000000000000002,0.21259206140494794,17.52,0.2356322742179599,0.03104939045130326,0.0028088301289459494,0.005780999345006421
0.4,32.1806489117679,0.2900322036502792,0.9413937484985766,1.35,0.21115602012790305,17.28,0.2356322742179599,0.03843103937612954,0.008167612142746528,0.006221001967787743
0.45,32.21814175639085,0.3549882395675047,0.9472999589440985,1.5,0.2095036268858984,17.040000000000003,0.4699589584330298,0.048099874190061176,-0.005044482500693448,0.005791000148747116
0.5,32.258965523523955,0.4266797316503307,0.953793029094606,1.65,0.2093858499693,16.8,0.4699589584330298,0.056402506170839285,0.001448587649814037,0.0059109988796990365
0.55,32.30307059749987,0.5051318982843955,0.9608086809701062,1.7999999999999998,0.20744187518117868,16.56,0.4699589584330298,0.06595127146261705,0.008464239525314277,0.0061110004025977105
0.6000000000000001,32.3503499734182,0.5904015330483211,0.9683265300559887,1.9499999999999997,0.2052547459361895,16.32,0.7030067372177065,0.07730107825315492,-0.003289963268224394,0.006571997801074758
0.65,32.40057864394887,0.6826082608761807,0.9764190879818937,2.0999999999999996,0.2051663328056267,16.080000000000002,0.7030067372177065,0.08782372204005996,0.0048025946576806255,0.00621099752606824
0.7000000000000001,32.45372187215386,0.7817649414173955,0.9849809685155853,2.2499999999999996,0.20266411976021223,15.840000000000002,0.9348058896097848,0.10056402007509758,-0.006045518003605643,0.006000998837407678
0.75,32.50950259077333,0.8880123481165496,0.9941117467227523,2.3999999999999995,0.20262322308176386,15.600000000000001,0.9348058896097848,0.11210416360791135,0.0030852602035613685,0.0057299985201098025
0.8,32.567902398605845,1.001351275432476,1.0036734821559605,2.5499999999999994,0.19978269313756788,15.360000000000003,1.1653900693692945,0.12569850768624566,-0.0068843806306628785,0.00609099879511632
0.8500000000000001,32.628584174460755,1.121944484524426,1.0138002199502711,2.6999999999999993,0.19983163283258099,15.120000000000003,1.3947960747822974,0.14055185128614156,-0.016393148339805652,0.006221998773980886
0.9,32.69134544079745,1.2498791297453942,1.0244890507294606,2.849999999999999,0.19982246765100933,14.880000000000003,1.3947960747822974,0.15258239099896254,-0.005704317560616179,0.006472000677604228
0.9500000000000001,32.75619513113242,1.3851363575132964,1.0355510186828365,2.999999999999999,0.19654486068871616,14.64,1.6230636093926343,0.1674739143201683,-0.014364102265758572,0.011361000360921025
1.0,32.82270247796612,1.5279054816863546,1.0471740674728753,3.149999999999999,0.19667648058529233,14.4,1.8502350351575794,0.18304286475054588,-0.022530620060430273,0.0061110004025977105
1.05,32.89062928018869,1.6782748586878418,1.0593542574547996,3.299999999999999,0.1967341260206851,14.160000000000004,1.8502350351575794,0.1957020042771795,-0.010350430078506001,0.005900998075958341
1.1,32.96003260590072,1.8361970812536013,1.0718357973783341,3.449999999999999,0.19293318115883143,13.920000000000002,2.0763551196243664,0.21064347131627945,-0.017707372500093133,0.005730998964281753
1.1500000000000001,33.03036895297433,2.0018859411094816,1.0848779789075689,3.5999999999999988,0.19319274993204266,13.680000000000001,2.3014707788097257,0.22576277139748627,-0.024533320470997655,0.006100999598857015
1.2000000000000002,33.10136443701686,2.1754252486036814,1.0984752145225034,3.7499999999999987,0.1933540415825657,13.440000000000005,2.5256308175300504,0.24086644193817172,-0.030814324230795,0.0059109988796990365
1.25,33.17273309564241,2.3568956719954577,1.1126210438100816,3.8999999999999986,0.19341677159909657,13.200000000000003,2.7488856689741104,0.2557736514657687,-0.03653714608400804,0.006071000825613737
1.3,33.24417717245317,2.546373886808289,1.127308083557888,4.049999999999999,0.1933800481933618,12.960000000000003,2.7488856689741104,0.2681316986509357,-0.02185010633620177,0.005931000487180427
1.35,33.3158540807422,2.7437628956667526,1.1421569828411027,4.199999999999999,0.18864435729298112,12.720000000000002,2.9712871353305768,0.2815428778904205,-0.02684052362061795,0.005880996468476951
1.4000000000000001,33.38701845380986,2.9492911954356336,1.1575588747923113,4.35,0.1889159252269523,12.480000000000002,3.1928881312781447,0.29443382040411187,-0.03122893499598467,0.005841000529471785
1.4500000000000002,33.45733890185262,3.1630200764673386,1.1735033448966004,4.5,0.18904880534552587,12.240000000000002,3.6339044282530955,0.30872584895591326,-0.05464036180697862,0.00585100133321248
1.5,33.5259380758112,3.3851695831789255,1.1903979625364922,4.65,0.19373478219784174,12.0,3.8534288877028406,0.32041482614773903,-0.05727337739318994,0.005891000910196453
1.55,33.59294848016041,3.6156247972856037,1.2077733384168088,4.800000000000001,0.19303888941470163,11.76,4.072370728104076,0.33117185799597953,-0.059300930942064234,0.006512000254588202
1.6,33.65801190023199,3.8544196912188466,1.2256153239428826,4.950000000000001,0.19223628942767354,11.52,4.290784799685773,0.34093641201020397,-0.060719576865337466,0.0060010024753864855
1.6500000000000001,33.7207628005492,4.101578192002006,1.2439085076720753,5.100000000000001,0.19132339747735694,11.28,4.508725680425551,0.34966779915460316,-0.061527878691759685,0.005870999302715063
1.7000000000000002,33.78082931467558,4.35711344178314,1.2626361692653463,5.250000000000002,0.19029655271221244,11.04,4.726247484497638,0.35734531858072416,-0.06172655176814601,0.005740999768022448
1.75,33.83783433125862,4.621027117223363,1.2817802379610743,5.400000000000002,0.18915206861611203,10.799999999999997,5.16024695117214,0.365412518956097,-0.07985041764556922,0.006121998012531549
1.8,33.89077515378603,4.893430346481243,1.30179470365694,5.5500000000000025,0.1923283016670207,10.559999999999997,5.376829002195698,0.3703768607960564,-0.0781505097448818,0.005881000106455758
1.85,33.9398152296531,5.174179471072847,1.322138891474645,5.700000000000003,0.1903997557214085,10.319999999999997,5.593200475332317,0.3743068582260719,-0.07589177528846847,0.00595099845668301
