controller,lap_time_s_mean,lap_time_s_std,mean_speed_mps_mean,mean_speed_mps_std,rms_lateral_error_m_mean,rms_lateral_error_m_std,mean_compute_ms_mean,mean_compute_ms_std,runs
lqr,17.1,,10.576530612396285,,0.8500752139541679,,0.300170166251479,,1
mpc,18.7,,9.89484102569033,,0.240855013479742,,2.243151981393263,,1
pure_pursuit,17.25,,10.598843930640967,,0.29861737154985124,,0.004912291790057254,,1
rl,13.05,,13.91221374045802,,0.7669233077392876,,0.14422817550009057,,1
