episode,reward,episode_length,episode_time_s,success,progress_m,lap_time_s,best_lap_s,mean_speed_mps
79,192.658531,127,6.3500000000000005,0,30.57636341779378,6.3500000000000005,6.3500000000000005,11.505837276577958
80,283.047236,156,7.800000000000001,0,42.073253017457304,7.800000000000001,7.800000000000001,11.935241527855409
81,352.062708,153,7.65,0,50.77158213562347,7.65,7.65,13.224699890613573
82,441.86341,192,9.600000000000001,0,62.35242372869508,9.600000000000001,9.600000000000001,14.997573986649535
83,192.320753,125,6.25,0,30.57636341779378,6.25,6.25,11.70727049410345
84,106.510707,96,4.800000000000001,0,19.353191582032043,4.800000000000001,4.800000000000001,9.033160360157497
85,64.250259,84,4.2,0,14.018405472486181,4.2,4.2,7.56165140122176
86,206.95077,124,6.2,0,32.16808302818729,6.2,6.2,11.791480761766444
87,58.997486,80,4.0,0,13.323247023573533,4.0,4.0,7.954501466453081
88,318.8444,162,8.1,0,46.56720931120941,8.1,8.1,12.318302728235736
89,429.217544,215,10.75,0,60.97056046621006,10.75,10.75,13.55626510083677
90,130.013918,96,4.800000000000001,0,22.206779425349822,4.800000000000001,4.800000000000001,8.113823246955878
91,266.94584,149,7.45,0,39.9695317039257,7.45,7.45,11.456316603720202
92,171.207645,108,5.4,0,27.529513073922367,5.4,5.4,10.76926350295545
93,72.122414,103,5.15,0,15.192920216746874,5.15,5.15,6.479048448801044
94,214.114067,129,6.45,0,33.144251539058736,6.45,6.45,9.762109239399447
95,132.481416,115,5.75,0,23.011232759173826,5.75,5.75,8.986777509748949
96,237.912412,134,6.7,0,36.158217661023365,6.7,6.7,11.505893678963199
97,428.040236,195,9.75,0,60.56246876585561,9.75,9.75,13.552084766328344
98,428.357289,191,9.55,0,60.69942091914157,9.55,9.55,14.459616498649147
99,274.457435,170,8.5,0,41.02116004814623,8.5,8.5,10.005251102149499
100,158.807193,126,6.300000000000001,0,26.36091349761532,6.300000000000001,6.300000000000001,10.501087304949765
101,388.899738,193,9.65,0,55.4503022744169,9.65,9.65,13.46102452576161
